layer,component,selected_tokens,top1_share_mean,top1_share_p50,top1_share_p90,top7_share_mean,top7_share_p50,top7_share_p90,top7_share_min,dims_for_50pct_mean,dims_for_50pct_p50,dims_for_50pct_p90,dims_for_50pct_min,dims_for_50pct_max,dims_for_80pct_mean,dims_for_80pct_p50,dims_for_80pct_p90,dims_for_80pct_min,dims_for_80pct_max,dims_for_90pct_mean,dims_for_90pct_p50,dims_for_90pct_p90,dims_for_90pct_min,dims_for_90pct_max,dims_for_95pct_mean,dims_for_95pct_p50,dims_for_95pct_p90,dims_for_95pct_min,dims_for_95pct_max,dims_for_99pct_mean,dims_for_99pct_p50,dims_for_99pct_p90,dims_for_99pct_min,dims_for_99pct_max
0,block,2048,0.33782702684402466,0.33540672063827515,0.456863135099411,0.4246070981025696,0.41220176219940186,0.5633903741836548,0.18123671412467957,23.57763671875,23.0,45.0,1,69,146.896484375,156.0,189.0,6,216,250.830078125,263.0,295.0,52,321,345.703125,357.0,385.0,129,414,513.58642578125,521.0,542.0,350,571
1,block,2048,0.8153102397918701,0.8176289796829224,0.8744456171989441,0.8634642362594604,0.8682339191436768,0.918620228767395,0.5676558017730713,1.0,1.0,1.0,1,1,3.72998046875,1.0,7.2999267578125,1,112,42.85791015625,35.0,96.0,1,218,130.451171875,133.0,200.0,1,311,340.00048828125,351.0,402.0,1,471
2,block,2048,0.17701074481010437,0.035273633897304535,0.552232563495636,0.25843796133995056,0.14134034514427185,0.6035820841789246,0.0745030865073204,50.15625,63.0,78.0,1,96,161.0869140625,182.0,203.0,1,228,245.83935546875,263.0,287.0,1,321,319.6904296875,333.0,357.0,19,392,441.84423828125,446.0,470.0,225,509
3,block,2048,0.35769161581993103,0.39277172088623047,0.6383143663406372,0.42844951152801514,0.4547390341758728,0.6755887269973755,0.08197078853845596,22.97607421875,14.0,62.0,1,83,113.75830078125,115.0,172.0,1,211,192.8046875,197.0,248.0,22,291,263.271484375,268.0,314.0,91,357,381.33349609375,386.0,422.0,180,474
4,block,2048,0.06005944684147835,0.02374919131398201,0.17977559566497803,0.15290920436382294,0.11472240835428238,0.28362807631492615,0.07294029742479324,59.01416015625,63.0,73.0,1,86,159.21728515625,163.0,184.0,6,217,226.04052734375,230.0,258.0,12,300,281.03173828125,285.0,318.0,33,367,367.5859375,372.0,414.0,65,477
5,block,2048,0.23080895841121674,0.22601011395454407,0.4208950996398926,0.30819571018218994,0.30603235960006714,0.4816952347755432,0.07802418619394302,38.56689453125,38.0,67.0,1,86,144.4130859375,147.0,182.0,1,209,220.97119140625,223.0,260.0,45,298,285.7353515625,288.0,325.0,95,371,389.55908203125,393.0,430.0,152,475
6,block,2048,0.21368861198425293,0.2001410722732544,0.4087647795677185,0.29253149032592773,0.28119632601737976,0.47071242332458496,0.07732459157705307,41.66552734375,43.0,68.0,1,81,144.7666015625,148.0,178.2999267578125,1,208,216.40576171875,219.0,252.0,1,291,276.13916015625,279.0,313.0,1,361,370.93896484375,374.0,411.0,1,480
7,block,2048,0.5567134022712708,0.5956563353538513,0.703640878200531,0.6062778234481812,0.6384158134460449,0.7387809753417969,0.09348026663064957,5.66943359375,1.0,19.0,1,68,66.9990234375,64.0,110.0,1,171,137.63134765625,138.0,177.0,1,243,201.39501953125,204.0,238.0,1,302,307.75390625,312.0,343.0,91,392
8,block,2048,0.7478427290916443,0.8310959339141846,0.8743046522140503,0.7805010676383972,0.8530524969100952,0.890712320804596,0.10601846873760223,4.16748046875,1.0,2.0,1,61,18.19580078125,1.0,79.0,1,155,57.58984375,40.0,137.0,1,218,121.9423828125,109.5,193.0,21,271,246.412109375,243.0,288.2999267578125,136,362
9,block,2048,0.6908169984817505,0.7704405784606934,0.83595210313797,0.7275440692901611,0.7962876558303833,0.8534026145935059,0.0906347930431366,4.35498046875,1.0,9.2999267578125,1,69,29.97509765625,9.0,98.2999267578125,1,172,91.1025390625,76.0,169.0,1,243,161.80224609375,149.0,233.0,52,301,289.953125,285.0,338.0,207,387
10,block,2048,0.6913152933120728,0.7741844654083252,0.8503605723381042,0.7342585921287537,0.8027961254119873,0.8685774207115173,0.10372156649827957,4.412109375,1.0,15.0,1,67,28.02978515625,7.0,98.2999267578125,1,182,85.6875,71.0,176.0,1,257,159.8505859375,150.0,244.2999267578125,16,317,302.67626953125,298.0,359.0,173,415
11,block,2048,0.9989475011825562,0.9994996786117554,0.9996530413627625,0.9992860555648804,0.9996263980865479,0.9997387528419495,0.9361792802810669,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0185546875,1.0,1.0,1,13,1.31396484375,1.0,1.0,1,66
