component,layer,dim,selected_because,mean,mean_abs,mean_sq,var,constant_energy,constant_ratio,raw_energy_frac,centered_energy_frac,constant_energy_frac_of_raw
attn_delta,0,87,variable_rank_7,51.417205810546875,51.417205810546875,30490.6796875,27846.94921875,2643.7290533641353,0.08670613710352813,4.926305433068612e-05,0.004963806355562693,4.271409142935026e-06
attn_delta,0,187,constant_rank_3;variable_rank_6;raw_rank_3,1582.50390625,1582.50390625,2533071.75,28752.8828125,2504318.613296509,0.9886489055418619,0.004092622812043575,0.005125291870368968,0.004046167063922537
attn_delta,0,192,constant_rank_4;variable_rank_4;raw_rank_4,-1366.1021728515625,1366.1021728515625,1902412.25,36177.19921875,1866235.1466697603,0.980983562668796,0.0030736814984657045,0.006448699640231177,0.0030152310268740505
attn_delta,0,441,constant_rank_7;variable_rank_9;raw_rank_7,544.368896484375,544.368896484375,322748.21875,26410.697265625,296337.4954596162,0.9181692670755172,0.0005214564974729515,0.0047077899238484825,0.0004787853300965062
attn_delta,0,444,constant_rank_5;variable_rank_10;raw_rank_5,-907.5157470703125,907.5157470703125,845698.8125,22113.91796875,823584.8311805874,0.9738512328590829,0.0013663751341254594,0.003941875488671597,0.0013306461089160734
attn_delta,0,495,constant_rank_9;variable_rank_2;raw_rank_8,510.4444580078125,510.4444580078125,309537.34375,48983.78515625,260553.54471088946,0.8417515688230734,0.0005001120059906016,0.008731513896480818,0.0004209700656298432
attn_delta,0,537,constant_rank_10;variable_rank_8;raw_rank_10,301.16387939453125,301.16387939453125,118243.875,27544.189453125,90699.68225196376,0.7670560716313108,0.00019104377134576982,0.004909838474305305,0.0001465412847581166
attn_delta,0,629,constant_rank_6;variable_rank_3;raw_rank_6,809.9507446289062,809.9507446289062,699584.75,43564.54296875,656020.2087249197,0.9377280003958344,0.001130302174349306,0.007765516917733375,0.0010599159977956385
attn_delta,0,684,constant_rank_2;variable_rank_5;raw_rank_2,1957.54345703125,1957.54345703125,3866625.25,34649.203125,3831976.3861658573,0.9910389909562239,0.006247212975224129,0.006176329526656068,0.006191231643254751
attn_delta,0,690,constant_rank_1;variable_rank_1;raw_rank_1,-24548.8515625,24548.8515625,604319744.0,1673571.5,602646113.0376587,0.9972305538931038,0.9763848063374965,0.29831938798506163,0.9736807612367525
attn_delta,0,715,constant_rank_8;raw_rank_9,-534.6976928710938,534.6976928710938,304157.15625,18255.544921875,285901.6227616705,0.9399799310547062,0.000491419367064929,0.003254108347583327,0.0004619243427726393
attn_delta,1,35,variable_rank_2,1074.7796630859375,1074.7796630859375,69650368.0,68495224.0,1155151.3241831213,0.016584999582243718,0.0007959301409501001,0.006673436726815812,1.3200501055152595e-05
attn_delta,1,85,variable_rank_4,-896.95361328125,896.95361328125,57823436.0,57018908.0,804525.7843782902,0.013913489754885721,0.0006607777803226983,0.0055553081302447006,9.19372487677599e-06
attn_delta,1,104,constant_rank_6;raw_rank_6,-13556.88671875,13556.88671875,185890640.0,2101481.25,183789177.50502014,0.9886951677880077,0.002124266784871895,0.0002047456937211389,0.00210025230529541
attn_delta,1,111,constant_rank_9;raw_rank_8,9684.8701171875,9684.8701171875,127973856.0,34177140.0,93796709.18679142,0.7329364928004625,0.0014624222695278194,0.003329852330923478,0.0010718626492210127
