component,layer,tokens_seen,hidden_dim,constant_energy_fraction,centered_energy_fraction,raw_total_energy,centered_total_energy,constant_total_energy,raw_pr,centered_pr,constant_pr,raw_entropy_norm,centered_entropy_norm,raw_k90,centered_k90,constant_k90,raw_top1_frac,centered_top1_frac,constant_top1_frac,raw_top_dim,constant_top_dim,variable_top_dim,constant_top_dim_energy_frac_of_raw,variable_top_dim_energy_frac_of_centered
attn_delta,0,3276800,768,0.990935964060557,0.009063939984388479,618936038.4117973,5609999.106339693,613325979.9154162,1.0488815094269908,11.083577582266477,1.0356837474958922,0.029167596947719598,0.7557424780398646,1,437,1,0.9763848063374965,0.29831938798506163,0.9825869647993218,690,690,690,0.9736807612367525,0.29831938798506163
attn_delta,1,3276800,768,0.8827096777714479,0.11729034913103666,87508142255.875,10263860557.0,77244284053.06145,1.4576131543845394,69.33323471021116,1.1725734797391298,0.21636092955707464,0.8893720013570897,59,459,1,0.8279229450004231,0.11155127075641544,0.9231110774458379,690,690,690,0.8148390817194697,0.11155127075641544
attn_delta,2,3276800,768,0.41020158291701286,0.5897984026500146,34970189727.25,20625362041.5,14344827181.026213,8.497982019355327,143.73454899050805,1.8821859272961516,0.7295022541733552,0.937015793121594,480,546,105,0.3416516908025235,0.07255030563774649,0.7285725727497397,690,690,690,0.2988616226118638,0.07255030563774649
attn_delta,3,3276800,768,0.5489263352923951,0.4510736636994683,92139408596.0,41561660606.5,50577747896.610886,4.554514470492517,176.5365729484288,1.5584325620632742,0.616210715043848,0.9406719272673822,439,533,75,0.4679394410815847,0.0627278974409475,0.8009171893187137,690,690,690,0.4396445376054069,0.0627278974409475
attn_delta,4,3276800,768,0.46324905905219593,0.5367509552222577,144758550052.0,77699290017.0,67059262101.349205,11.118117600039824,436.30746434041686,2.640860369773195,0.7730596421251416,0.9695523956679221,515,571,185,0.29835507946498174,0.025232509789613874,0.6148129498348892,690,690,690,0.28481152050411734,0.025232509789613874
attn_delta,5,3276800,768,0.5156638654595892,0.4843361388081296,440605763768.0,213401294360.0,227204471288.3815,10.338611246923689,394.8161277795384,3.062444249765714,0.7632783573870145,0.9727258722831967,532,604,200,0.3094837431491255,0.031401489311941394,0.5706718865376185,690,690,690,0.2942748709211045,0.031401489311941394
attn_delta,6,3276800,768,0.5689239711817392,0.431076020059922,799094747864.0,344470583560.0,454624157305.2575,11.289631227616852,183.77265316442057,4.472973394491967,0.7726608261517657,0.9618475509770268,533,621,237,0.29582909870436636,0.0643153967199091,0.47124796797965673,690,690,690,0.26810426535431137,0.0643153967199091
attn_delta,7,3276800,768,0.6506187572639451,0.3493812190014094,1867364725536.0,652422164128.0,1214942517086.7603,4.056051266318002,194.81702420819505,1.8793312413075123,0.5972229418768333,0.964366095619651,492,632,144,0.4960768826465343,0.06184254538612541,0.7292599997280194,690,690,690,0.47447023474534894,0.06184254538612541
attn_delta,8,3276800,768,0.6740997984270535,0.3259001865531773,2005670861920.0,653648508064.0,1352022323731.2866,2.9509308244711865,67.01646724805244,1.5377460139297803,0.5127968733809549,0.9323154482335798,480,630,82,0.5818689322548225,0.11764737708920246,0.8063014065505282,690,690,690,0.5435276156271608,0.11764737708920246
attn_delta,9,3276800,768,0.6564951167289568,0.3435049286928769,1661463791008.0,570721001056.0,1090742865418.732,3.1702827949415253,355.5264539586632,1.4352684179895956,0.5373279209292552,0.9805417888118108,507,635,70,0.5613733752753863,0.03910804735536611,0.8346438528465465,690,690,690,0.5479396136015998,0.03910804735536611
