component,layer,tokens_seen,hidden_dim,constant_energy_fraction,centered_energy_fraction,raw_total_energy,centered_total_energy,constant_total_energy,raw_pr,centered_pr,constant_pr,raw_entropy_norm,centered_entropy_norm,raw_k90,centered_k90,constant_k90,excluded_dims,raw_k90_no_excluded,centered_k90_no_excluded,constant_k90_no_excluded,raw_pr_no_excluded,centered_pr_no_excluded,constant_pr_no_excluded,raw_top1_frac_no_excluded,centered_top1_frac_no_excluded,constant_top1_frac_no_excluded,raw_energy_removed_frac,centered_energy_removed_frac,constant_energy_removed_frac,raw_k90_jump_no_excluded,centered_k90_jump_no_excluded,raw_top1_frac,centered_top1_frac,constant_top1_frac,raw_top_dim,constant_top_dim,variable_top_dim,constant_top_dim_energy_frac_of_raw,variable_top_dim_energy_frac_of_centered
attn_delta,0,3276800,768,0.990935964060557,0.009063939984388479,618936038.4117973,5609999.106339693,613325979.9154162,1.0488815094269908,11.083577582266477,1.0356837474958922,0.029167596947719598,0.7557424780398646,1,437,1,690,243,488,5,8.053325327239063,400.57629699507726,4.422135939449773,0.26454210219514473,0.012443715483897293,0.3588037594500838,0.9763848063374965,0.29831938798506163,0.9825869647993218,242,51,0.9763848063374965,0.29831938798506163,0.9825869647993218,690,690,690,0.9736807612367525,0.29831938798506163
attn_delta,1,3276800,768,0.8827096777714479,0.11729034913103666,87508142255.875,10263860557.0,77244284053.06145,1.4576131543845394,69.33323471021116,1.1725734797391298,0.21636092955707464,0.8893720013570897,59,459,1,690,442,477,125,49.62534507452031,398.7756824092615,8.55610617232775,0.13004961760264944,0.0075113357779210315,0.32396575195261845,0.8279229450004231,0.11155127075641544,0.9231110774458379,383,18,0.8279229450004231,0.11155127075641544,0.9231110774458379,690,690,690,0.8148390817194697,0.11155127075641544
attn_delta,2,3276800,768,0.41020158291701286,0.5897984026500146,34970189727.25,20625362041.5,14344827181.026213,8.497982019355327,143.73454899050805,1.8821859272961516,0.7295022541733552,0.937015793121594,480,546,105,690,548,556,295,456.658102651676,507.8534627107832,153.7586074169301,0.010967814791151104,0.007214489780547458,0.035076159578592545,0.3416516908025235,0.07255030563774649,0.7285725727497394,68,10,0.3416516908025235,0.07255030563774649,0.7285725727497397,690,690,690,0.2988616226118638,0.07255030563774649
attn_delta,3,3276800,768,0.5489263352923951,0.4510736636994683,92139408596.0,41561660606.5,50577747896.610886,4.554514470492517,176.5365729484288,1.5584325620632742,0.616210715043848,0.9406719272673822,439,533,75,690,545,541,320,475.73780541580254,507.8619281098315,196.18184270631906,0.008661043050790873,0.006525198095504882,0.0193580665858539,0.4679394410815847,0.0627278974409475,0.8009171893187137,106,8,0.4679394410815847,0.0627278974409475,0.8009171893187137,690,690,690,0.4396445376054069,0.0627278974409475
attn_delta,4,3276800,768,0.46324905905219593,0.5367509552222577,144758550052.0,77699290017.0,67059262101.349205,11.118117600039824,436.30746434041686,2.640860369773195,0.7730596421251416,0.9695523956679221,515,571,185,690,569,573,318,530.770671491401,574.0239856373994,221.60855308111704,0.005962969367277226,0.005125131869828065,0.017711228599082342,0.29835507946498174,0.025232509789613874,0.6148129498348893,54,2,0.29835507946498174,0.025232509789613874,0.6148129498348892,690,690,690,0.28481152050411734,0.025232509789613874
attn_delta,5,3276800,768,0.5156638654595892,0.4843361388081296,440605763768.0,213401294360.0,227204471288.3815,10.338611246923689,394.8161277795384,3.062444249765714,0.7632783573870145,0.9727258722831967,532,604,200,690,588,607,320,504.7760006455661,606.5429429882519,211.8274771686171,0.008877630716962534,0.005767694288754937,0.02310352349775577,0.3094837431491255,0.031401489311941394,0.5706718865376185,56,3,0.3094837431491255,0.031401489311941394,0.5706718865376185,690,690,690,0.2942748709211045,0.031401489311941394
attn_delta,6,3276800,768,0.5689239711817392,0.431076020059922,799094747864.0,344470583560.0,454624157305.2575,11.289631227616852,183.77265316442057,4.472973394491967,0.7726608261517657,0.9618475509770268,533,621,237,690,588,627,331,466.9097227848662,670.8671861728527,187.60067329752013,0.01549532389160999,0.0038353390750021283,0.034379483637718235,0.29582909870436636,0.0643153967199091,0.47124796797965685,55,6,0.29582909870436636,0.0643153967199091,0.47124796797965673,690,690,690,0.26810426535431137,0.0643153967199091
attn_delta,7,3276800,768,0.6506187572639451,0.3493812190014094,1867364725536.0,652422164128.0,1214942517086.7603,4.056051266318002,194.81702420819505,1.8793312413075123,0.5972229418768333,0.964366095619651,492,632,144,690,609,638,343,560.6526692797323,672.6214293552828,258.07371129484557,0.009586579973407491,0.006394845106915818,0.0165733302962178,0.4960768826465343,0.06184254538612541,0.7292599997280195,117,6,0.4960768826465343,0.06184254538612541,0.7292599997280194,690,690,690,0.47447023474534894,0.06184254538612541
attn_delta,8,3276800,768,0.6740997984270535,0.3259001865531773,2005670861920.0,653648508064.0,1352022323731.2866,2.9509308244711865,67.01646724805244,1.5377460139297803,0.5127968733809549,0.9323154482335798,480,630,82,690,627,642,337,573.8463689309294,720.3422494606681,207.8720012510567,0.008845359086613356,0.0029849419235175472,0.024113987297763182,0.5818689322548225,0.11764737708920246,0.8063014065505283,147,12,0.5818689322548225,0.11764737708920246,0.8063014065505282,690,690,690,0.5435276156271608,0.11764737708920246
attn_delta,9,3276800,768,0.6564951167289568,0.3435049286928769,1661463791008.0,570721001056.0,1090742865418.732,3.1702827949415253,355.5264539586632,1.4352684179895956,0.5373279209292552,0.9805417888118108,507,635,70,690,633,638,359,665.2433808611183,719.4887622903375,264.3699096541229,0.004935937041942591,0.0027205233274920637,0.016318821074339386,0.5613733752753863,0.03910804735536611,0.8346438528465466,126,3,0.5613733752753863,0.03910804735536611,0.8346438528465465,690,690,690,0.5479396136015998,0.03910804735536611
attn_delta,10,3276800,768,0.6375815869539061,0.3624184134414614,2290246164896.0,830027381472.0,1460218784329.489,3.3273538716990556,644.4936720569096,1.3757133543242277,0.5511992454472343,0.9904640152479256,514,640,48,690,634,640,342,670.6144346791639,694.3157439678807,254.6259294710445,0.0038043891733061147,0.004390306076444936,0.013430204292665447,0.5479364753722819,0.012079951558005605,0.8525316441237242,120,0,0.5479364753722819,0.012079951558005605,0.8525316441237245,690,690,690,0.543558478588827,0.012079951558005605
attn_delta,11,3276800,768,0.8303093288501948,0.16969066892800352,16420970732800.0,2786485508096.0,13634485188219.86,1.6597566526937881,457.18966621804327,1.159744286063234,0.3015626370156812,0.9878293907469143,321,667,1,690,650,669,347,657.7088815070881,744.4144039840351,261.83419294813956,0.005468485617233813,0.0029991247877992322,0.016791675848671354,0.7761583474710181,0.030403637939566578,0.9285685527687709,329,2,0.7761583474710181,0.030403637939566578,0.9285685527687713,690,690,690,0.7709991318408351,0.030403637939566578
block_total_delta,0,3276800,768,0.40401628382008514,0.5959837387557249,15778884177.5,9403958385.5,6374926148.22109,5.826769026882249,64.55990072629848,1.384479617297116,0.6535056779281716,0.9051090136079573,487,585,2,690,588,602,54,213.47443436549185,434.1006444252055,6.958785232611032,0.04806719755750254,0.014813972723498395,0.3505245791009857,0.41231520852894604,0.11701908695138175,0.847920668335903,101,17,0.41231520852894604,0.11701908695138175,0.847920668335903,690,690,690,0.3425737573953144,0.11701908695138175
block_total_delta,1,3276800,768,0.1650073750872142,0.8349925737947138,2944814057432.0,2458897869162.0,485916037736.78314,1.0461264079797523,1.0389219930249418,1.0833211334496282,0.035316163564282056,0.032564216666574504,1,1,1,690,602,642,54,30.843941111261433,393.57069737027393,3.3576200778148984,0.17357413923925213,0.024020841436394928,0.5361997682676508,0.9776969351249042,0.9810888160971698,0.960532874115751,601,641,0.9776969351249042,0.9810888160971698,0.960532874115751,690,690,690,0.15849500824281762,0.9810888160971698
block_total_delta,2,3276800,768,0.046656033085316295,0.9533439713456762,319936774872.0,305009795536.0,14926980753.637423,3.053840805349917,2.911492135032544,11.203003458678294,0.5237996867662651,0.5109011018927789,472,475,212,690,614,621,262,611.0230158704541,645.0258384550937,86.59554761711564,0.006513282614638031,0.005127777789025668,0.05218046691962431,0.5719761013944488,0.5858332200183716,0.2888273119957506,142,146,0.5719761013944488,0.5858332200183716,0.2888273119957506,690,690,690,0.013475536624416713,0.5858332200183716
block_total_delta,3,3276800,768,0.06391077074852772,0.9360892352863355,532308806512.0,498288543624.0,34020266100.41083,4.116294439334008,3.9089821332293426,10.460683728741376,0.6000946059592792,0.5886966707494534,472,471,226,690,592,595,278,562.8609849884292,589.6772807369633,121.88247782602585,0.005967273356125357,0.004620454230186787,0.035398000356902944,0.49242179160921123,0.5053772663214626,0.3026653881685704,120,124,0.49242179160921123,0.5053772663214626,0.3026653881685705,690,690,690,0.019343578236755667,0.5053772663214626
block_total_delta,4,3276800,768,0.10262340111874292,0.897376591285687,711115814864.0,638138685952.0,72977123510.67,11.112915124898194,11.083043983611619,11.149744278706715,0.7839750442500374,0.7848703827629377,569,574,257,690,616,620,305,647.7502808064488,666.4921398551826,180.10329088386075,0.004764915419885191,0.003538108812563318,0.026493554070172235,0.2987074308741456,0.29915036556545516,0.29483417517995925,47,46,0.2987074308741456,0.29915036556545516,0.2948341751799594,690,690,690,0.030256885823006695,0.29915036556545516
block_total_delta,5,3276800,768,0.14973578593360443,0.8502642138677887,1284904001600.0,1092507890816.0,192396110528.80933,69.51301150103602,105.69001548077665,14.998466380474396,0.9282825136991876,0.947357922315398,619,630,258,690,633,640,296,647.9855425485796,685.3454164005391,146.21504273545156,0.005711388986885199,0.004703130287465945,0.03483571644095428,0.11478898894262732,0.09086044121645463,0.25066558433406666,14,10,0.11478898894262732,0.09086044121645463,0.25066558433406666,690,690,690,0.037533608276767674,0.09086044121645463
block_total_delta,6,3276800,768,0.03902687562125248,0.960973181881369,11949450985792.0,11483101935552.0,466349737364.75726,1.3760136711378068,1.3094412721532673,9.12059391007995,0.20877573521343828,0.18263269504513568,157,114,251,690,643,655,305,617.3810564362906,727.5256769435262,118.78956485252922,0.013108892495126109,0.0025177403632112056,0.06308336360153871,0.8524680115650389,0.8738779281681627,0.32528394488970297,486,541,0.8524680115650389,0.8738779281681627,0.32528394488970297,690,690,690,0.012694816058800785,0.8738779281681627
block_total_delta,7,3276800,768,0.15768521971375798,0.8423147878722539,7376117530880.0,6213012873344.0,1163104713491.315,2.5488635975886913,2.5586317193574755,2.494776002734287,0.4704509876722029,0.4734916613177388,494,516,174,690,653,663,316,682.2219462662765,740.0179532077498,182.18384236998142,0.0068797159946631685,0.002997641782828189,0.032751570668909595,0.6262003626301957,0.6250151044914783,0.6325317378135168,159,147,0.6262003626301957,0.6250151044914783,0.6325317378135167,690,690,690,0.09974090605304956,0.6250151044914783
block_total_delta,8,3276800,768,0.37003936631520934,0.6299606163110468,5568962934400.0,3508227322368.0,2060735515278.2646,4.3088954558015145,13.707563427437494,1.4058786807527839,0.6191016695798406,0.8157454926423828,557,616,35,690,648,652,310,686.2598914910817,727.5227336814286,137.38312761103302,0.006413400391797525,0.0026137107645083004,0.03864078234352794,0.4813377630369886,0.26873294340220816,0.8432794015771151,91,36,0.4813377630369886,0.26873294340220816,0.8432794015771149,690,690,690,0.3120465753862645,0.26873294340220816
block_total_delta,9,3276800,768,0.3092437756951923,0.6907562431596532,4734723504384.0,3270539820288.0,1464183773368.4805,9.95323956642649,119.82378704183529,1.4437764762004255,0.77444879346052,0.955121908121462,604,642,54,690,649,650,322,715.9598963048832,729.2472046647795,176.4181264150804,0.0048943706186738755,0.0029488040857131464,0.04024324031992966,0.31593704131591466,0.08483577495031609,0.8321467940110363,45,8,0.31593704131591466,0.08483577495031609,0.8321467940110361,690,690,690,0.25733621651262223,0.08483577495031609
block_total_delta,10,3276800,768,0.3462058332888252,0.6537941828675199,9219328721408.0,6027543488000.0,3191785382358.6562,4.517244035582704,15.446875790148228,1.2907635219502427,0.6313984876623033,0.8302144154620983,585,640,9,690,666,670,298,707.8596344135642,739.0461025627465,134.029969195493,0.006918114558901287,0.004717752813080963,0.03984772187355862,0.47008212954512424,0.2529483467398253,0.8801295605280137,81,30,0.47008212954512424,0.2529483467398253,0.8801295605280137,690,690,690,0.3047059879047285,0.2529483467398253
